1.3235 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.6313 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DA97B07280>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001DA999ED640>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, units='deg', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.6314 	EXP 	window1: mouseVisible = True
3.6314 	EXP 	window1: mouseVisible = False
3.6314 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
3.6314 	EXP 	window1: recordFrameIntervals = False
3.7978 	EXP 	window1: recordFrameIntervals = True
3.9811 	EXP 	Screen (1) actual frame rate measured at 60.03Hz
3.9811 	EXP 	window1: recordFrameIntervals = False
4.8796 	EXP 	Created target = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=3.0, italic=False, languageStyle='LTR', name='target', opacity=1.0, ori=1.0, pos=array([-15.,   0.]), rgb=UNKNOWN, text='R', units='deg', win=Window(...), wrapWidth=15.0)
4.8806 	EXP 	Created letter = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=3.0, italic=False, languageStyle='LTR', name='letter', opacity=1.0, ori=1.0, pos=array([15.,  0.]), rgb=UNKNOWN, text='R', units='deg', win=Window(...), wrapWidth=15.0)
4.8852 	EXP 	Imported conditions/mental_rotation_conditions.csv as conditions, 50 conditions, 4 params
4.8856 	EXP 	Created sequence: random, trialTypes=50, nReps=1, seed=None
4.8857 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 'mirrored'), ('target_angle', 180), ('letter_angle', 240), ('flip', 'horiz')])
4.8985 	EXP 	target: ori = 180.0
4.8985 	EXP 	letter: ori = 240.0
4.8985 	EXP 	letter: flipHoriz = True
4.8985 	EXP 	target: autoDraw = True
4.8985 	EXP 	letter: autoDraw = True
5.8825 	EXP 	New trial (rep=0, index=1): OrderedDict([('condition', 'mirrored'), ('target_angle', 0), ('letter_angle', 0), ('flip', 'horiz')])
5.8992 	EXP 	target: autoDraw = False
5.8992 	EXP 	letter: autoDraw = False
5.8992 	EXP 	target: ori = 0.0
5.8992 	EXP 	letter: ori = 0.0
5.8992 	EXP 	letter: flipHoriz = True
5.8992 	EXP 	target: autoDraw = True
5.8992 	EXP 	letter: autoDraw = True
6.8826 	EXP 	New trial (rep=0, index=2): OrderedDict([('condition', 'mirrored'), ('target_angle', 180), ('letter_angle', 0), ('flip', 'horiz')])
6.8992 	EXP 	target: autoDraw = False
6.8992 	EXP 	letter: autoDraw = False
6.8992 	EXP 	target: ori = 180.0
6.8992 	EXP 	letter: ori = 0.0
6.8992 	EXP 	letter: flipHoriz = True
6.8992 	EXP 	target: autoDraw = True
6.8992 	EXP 	letter: autoDraw = True
7.8824 	EXP 	New trial (rep=0, index=3): OrderedDict([('condition', 'same'), ('target_angle', 60), ('letter_angle', 120), ('flip', 0.0)])
7.8990 	EXP 	target: autoDraw = False
7.8990 	EXP 	letter: autoDraw = False
7.8990 	EXP 	target: ori = 60.0
7.8990 	EXP 	letter: ori = 120.0
7.8990 	EXP 	target: autoDraw = True
7.8990 	EXP 	letter: autoDraw = True
8.8825 	EXP 	New trial (rep=0, index=4): OrderedDict([('condition', 'same'), ('target_angle', 120), ('letter_angle', 240), ('flip', 0.0)])
8.8990 	EXP 	target: autoDraw = False
8.8990 	EXP 	letter: autoDraw = False
8.8990 	EXP 	target: ori = 120.0
8.8990 	EXP 	letter: ori = 240.0
8.8990 	EXP 	target: autoDraw = True
8.8990 	EXP 	letter: autoDraw = True
9.8824 	EXP 	New trial (rep=0, index=5): OrderedDict([('condition', 'same'), ('target_angle', 180), ('letter_angle', 120), ('flip', 0.0)])
9.8991 	EXP 	target: autoDraw = False
9.8991 	EXP 	letter: autoDraw = False
9.8991 	EXP 	target: ori = 180.0
9.8991 	EXP 	letter: ori = 120.0
9.8991 	EXP 	target: autoDraw = True
9.8991 	EXP 	letter: autoDraw = True
10.8826 	EXP 	New trial (rep=0, index=6): OrderedDict([('condition', 'mirrored'), ('target_angle', 60), ('letter_angle', 120), ('flip', 'horiz')])
10.8992 	EXP 	target: autoDraw = False
10.8992 	EXP 	letter: autoDraw = False
10.8992 	EXP 	target: ori = 60.0
10.8992 	EXP 	letter: ori = 120.0
10.8992 	EXP 	letter: flipHoriz = True
10.8992 	EXP 	target: autoDraw = True
10.8992 	EXP 	letter: autoDraw = True
11.8826 	EXP 	New trial (rep=0, index=7): OrderedDict([('condition', 'mirrored'), ('target_angle', 120), ('letter_angle', 60), ('flip', 'horiz')])
11.8990 	EXP 	target: autoDraw = False
11.8990 	EXP 	letter: autoDraw = False
11.8990 	EXP 	target: ori = 120.0
11.8990 	EXP 	letter: ori = 60.0
11.8990 	EXP 	letter: flipHoriz = True
11.8990 	EXP 	target: autoDraw = True
11.8990 	EXP 	letter: autoDraw = True
12.8824 	EXP 	New trial (rep=0, index=8): OrderedDict([('condition', 'same'), ('target_angle', 120), ('letter_angle', 120), ('flip', 0.0)])
12.8989 	EXP 	target: autoDraw = False
12.8989 	EXP 	letter: autoDraw = False
12.8989 	EXP 	target: ori = 120.0
12.8989 	EXP 	letter: ori = 120.0
12.8989 	EXP 	target: autoDraw = True
12.8989 	EXP 	letter: autoDraw = True
13.8826 	EXP 	New trial (rep=0, index=9): OrderedDict([('condition', 'same'), ('target_angle', 180), ('letter_angle', 60), ('flip', 0.0)])
13.8991 	EXP 	target: autoDraw = False
13.8991 	EXP 	letter: autoDraw = False
13.8991 	EXP 	target: ori = 180.0
13.8991 	EXP 	letter: ori = 60.0
13.8991 	EXP 	target: autoDraw = True
13.8991 	EXP 	letter: autoDraw = True
14.8825 	EXP 	New trial (rep=0, index=10): OrderedDict([('condition', 'same'), ('target_angle', 180), ('letter_angle', 0), ('flip', 0.0)])
14.8991 	EXP 	target: autoDraw = False
14.8991 	EXP 	letter: autoDraw = False
14.8991 	EXP 	target: ori = 180.0
14.8991 	EXP 	letter: ori = 0.0
14.8991 	EXP 	target: autoDraw = True
14.8991 	EXP 	letter: autoDraw = True
15.8825 	EXP 	New trial (rep=0, index=11): OrderedDict([('condition', 'mirrored'), ('target_angle', 180), ('letter_angle', 120), ('flip', 'horiz')])
15.8990 	EXP 	target: autoDraw = False
15.8990 	EXP 	letter: autoDraw = False
15.8990 	EXP 	target: ori = 180.0
15.8990 	EXP 	letter: ori = 120.0
15.8990 	EXP 	letter: flipHoriz = True
15.8990 	EXP 	target: autoDraw = True
15.8990 	EXP 	letter: autoDraw = True
16.8826 	EXP 	New trial (rep=0, index=12): OrderedDict([('condition', 'same'), ('target_angle', 120), ('letter_angle', 180), ('flip', 0.0)])
16.8991 	EXP 	target: autoDraw = False
16.8991 	EXP 	letter: autoDraw = False
16.8991 	EXP 	target: ori = 120.0
16.8991 	EXP 	letter: ori = 180.0
16.8991 	EXP 	target: autoDraw = True
16.8991 	EXP 	letter: autoDraw = True
17.7998 	DATA 	Keypress: escape
17.8826 	EXP 	New trial (rep=0, index=13): OrderedDict([('condition', 'same'), ('target_angle', 180), ('letter_angle', 180), ('flip', 0.0)])
18.3040 	EXP 	window1: mouseVisible = True
